Kod;Nazwa;Udzielone_Noclegi;Prognoza
2804000;Powiat elbląski;31049.0;34153.526666666665
2805000;Powiat ełcki;93485.0;94471.68
2806000;Powiat giżycki;487677.0;590139.7466666667
2807000;Powiat iławski;133622.0;123316.92666666667
2808000;Powiat kętrzyński;45050.0;40063.89333333333
2809000;Powiat lidzbarski;67694.0;70088.64
2810000;Powiat mrągowski;741861.0;742733.8066666666
2811000;Powiat nidzicki;26420.0;25136.366666666665
2812000;Powiat nowomiejski;7975.0;13429.18
2813000;Powiat olecki;42836.0;41113.166666666664
2814000;Powiat olsztyński;381604.0;440258.68666666665
2815000;Powiat ostródzki;366595.0;274847.5133333333
2816000;Powiat piski;169261.0;162033.08666666667
2817000;Powiat szczycieński;130411.0;121603.34
2818000;Powiat gołdapski;127473.0;121060.41333333333
2819000;Powiat węgorzewski;42084.0;38881.46666666667
2861000;Powiat m. Elbląg;100631.0;101276.50666666667
2862000;Powiat m. Olsztyn;391026.0;383140.56666666665
3001000;Powiat chodzieski;35547.0;39760.56
3002000;Powiat czarnkowsko-trzcianecki;27041.0;30594.293333333335
3003000;Powiat gnieźnieński;110457.0;144476.36666666667
3004000;Powiat gostyński;25713.0;28403.146666666667
3005000;Powiat grodziski;41784.0;43675.333333333336
3006000;Powiat jarociński;80246.0;81488.12
3007000;Powiat kaliski;13967.0;17105.9
3008000;Powiat kępiński;18853.0;14977.906666666666
3009000;Powiat kolski;24031.0;34282.45333333333
3010000;Powiat koniński;290525.0;284509.30666666664
3011000;Powiat kościański;24027.0;24850.993333333332
3012000;Powiat krotoszyński;32550.0;31768.04
3013000;Powiat leszczyński;145675.0;146800.82666666666
3014000;Powiat międzychodzki;100353.0;102820.68666666666
3015000;Powiat nowotomyski;100983.0;101475.41333333333
3016000;Powiat obornicki;15113.0;15146.766666666666
3017000;Powiat ostrowski;101412.0;108354.64
3018000;Powiat ostrzeszowski;18367.0;28217.9
3019000;Powiat pilski;110670.0;107615.31333333334
3020000;Powiat pleszewski;35363.0;44795.56
3021000;Powiat poznański;363601.0;357581.2
3022000;Powiat rawicki;21256.0;17493.2
3023000;Powiat słupecki;84876.0;96488.83333333333
3024000;Powiat szamotulski;26828.0;27358.613333333335
3025000;Powiat średzki;74881.0;81094.74
3026000;Powiat śremski;35155.0;44740.76
3027000;Powiat turecki;19227.0;21496.646666666667
3028000;Powiat wągrowiecki;66562.0;62219.22
3029000;Powiat wolsztyński;121881.0;88544.35333333333
3030000;Powiat wrzesiński;83793.0;82071.98
3031000;Powiat złotowski;19334.0;26547.253333333334
3061000;Powiat m. Kalisz;44152.0;49826.86666666667
3062000;Powiat m. Konin;16829.0;12321.76
3063000;Powiat m. Leszno;34152.0;43230.066666666666
3064000;Powiat m. Poznań;1487123.0;1488943.9266666668
3201000;Powiat białogardzki;47804.0;52241.21333333333
3202000;Powiat choszczeński;5869.0;13038.76
3203000;Powiat drawski;159503.0;138803.05333333334
3204000;Powiat goleniowski;66301.0;65494.08666666667
3205000;Powiat gryficki;1627863.0;1458221.5266666666
3206000;Powiat gryfiński;88416.0;94990.00666666667
3207000;Powiat kamieński;1880912.0;1454954.9066666667
3208000;Powiat kołobrzeski;6107617.0;4807205.126666667
3209000;Powiat koszaliński;1447359.0;1419406.2933333332
3210000;Powiat myśliborski;54678.0;55476.18
