Model;Suma;R2;MAE;RMSE;Color
Wzmocnienie Gradientowe;93983763.0;0.9837730260006502;22760.878947368423;95343.44268700667;#3498db
Las Losowy;92414860.34;0.974214954498382;26429.108122807014;120186.58919925055;#e74c3c
Regresja Liniowa;93856256.0;0.9869476240348322;28975.918421052633;85509.98825568182;#2ecc71
Drzewo Decyzyjne;93212036.0;0.9703021852734041;29496.56052631579;128983.54415223305;#9b59b6
