"Kod";"Nazwa";"ogółem w ha;2013;[ha]";"ogółem w ha;2014;[ha]";"ogółem w ha;2015;[ha]";"ogółem w ha;2016;[ha]";"ogółem w ha;2017;[ha]";"ogółem w ha;2018;[ha]";"ogółem w ha;2019;[ha]";"ogółem w ha;2020;[ha]";"ogółem w ha;2021;[ha]";"ogółem w ha;2022;[ha]";"ogółem w ha;2023;[ha]";"ogółem w ha;2024;[ha]";
1610000;"Powiat prudnicki";57155;57155;57155;57155;57155;57155;57155;57155;57155;57136;57135;57135;
1611000;"Powiat strzelecki";74427;74427;74427;74427;74427;74427;74427;74427;74427;74424;74424;74424;
1661000;"Powiat m. Opole";9655;9655;9655;9655;14888;14888;14888;14888;14888;14903;14903;14903;
1801000;"Powiat bieszczadzki";113907;113907;113907;113907;113907;113907;113907;113907;113907;113912;113915;113915;
1802000;"Powiat brzozowski";53934;53934;53934;53934;53934;53934;53934;53934;53934;53933;53933;53933;
1803000;"Powiat dębicki";77748;77748;77748;77748;77748;77748;77748;77748;77748;77705;77704;77704;
1804000;"Powiat jarosławski";102866;102866;102866;102866;102866;102866;102866;102866;102866;102888;102889;102889;
1805000;"Powiat jasielski";83087;83087;83087;83087;83087;83087;83087;83087;83087;83087;83086;83086;
1806000;"Powiat kolbuszowski";77317;77317;77317;77317;77317;77317;77317;77317;77317;77316;77316;77316;
1807000;"Powiat krośnieński";92588;92588;92588;92588;99311;99311;99311;99311;99189;99195;99195;99195;
1808000;"Powiat leżajski";58371;58371;58371;58371;58371;58371;58371;58371;58371;58386;58386;58386;
1809000;"Powiat lubaczowski";130837;130837;130837;130837;130837;130837;130837;130837;130837;130831;130830;130830;
1810000;"Powiat łańcucki";45184;45184;45184;45184;45184;45184;45184;45184;45184;45184;45184;45184;
1811000;"Powiat mielecki";88050;88050;88050;88050;88050;88050;88050;88050;88050;88051;88050;88050;
1812000;"Powiat niżański";78564;78564;78564;78564;78564;78564;78564;78564;78564;78557;78557;78557;
1813000;"Powiat przemyski";121122;121122;121122;121122;121122;121122;121122;121122;121122;121116;121116;121116;
1814000;"Powiat przeworski";69802;69802;69802;69802;69802;69802;69802;69802;69802;69784;69784;69784;
1815000;"Powiat ropczycko-sędziszowski";54831;54831;54831;54831;54831;54831;54831;54831;54831;54830;54830;54830;
1816000;"Powiat rzeszowski";115738;115738;115738;115738;115333;115333;114713;114713;114473;114475;114474;114474;
1817000;"Powiat sanocki";122366;122366;122366;122366;115643;115643;115643;115643;115643;115642;115642;115642;
1818000;"Powiat stalowowolski";83174;83174;83174;83174;83174;83174;83174;83174;83174;83173;83174;83174;
1819000;"Powiat strzyżowski";50347;50347;50347;50347;50347;50347;50347;50347;50347;50347;50347;50347;
1820000;"Powiat tarnobrzeski";52106;52106;52106;52106;52106;52106;52106;52106;52106;52106;52106;52106;
1821000;"Powiat leski";83494;83494;83494;83494;83494;83494;83494;83494;83494;83490;83490;83490;
1861000;"Powiat m. Krosno";4350;4350;4350;4350;4350;4350;4350;4350;4472;4471;4471;4471;
1862000;"Powiat m. Przemyśl";4617;4617;4617;4617;4617;4617;4617;4617;4617;4617;4617;4617;
1863000;"Powiat m. Rzeszów";11636;11636;11636;11636;12041;12041;12661;12661;12901;12901;12901;12901;
1864000;"Powiat m. Tarnobrzeg";8540;8540;8540;8540;8540;8540;8540;8540;8540;8540;8540;8540;
2001000;"Powiat augustowski";165939;165939;165939;165939;165939;165939;165939;165939;165939;165940;165937;165937;
2002000;"Powiat białostocki";297644;297644;297644;297644;297644;297644;297644;297644;297644;297656;297656;297656;
2003000;"Powiat bielski";138509;138509;138509;138509;138509;138509;138509;138509;138509;138506;138506;138506;
2004000;"Powiat grajewski";96762;96762;96762;96762;96762;96762;96762;96762;96762;96749;96749;96749;
2005000;"Powiat hajnowski";162353;162353;162353;162353;162353;162353;162353;162353;162353;162352;162353;162353;
2006000;"Powiat kolneński";94010;94010;94010;94010;94010;94010;94010;94010;94012;94012;94012;94012;
2007000;"Powiat łomżyński";135459;135459;135459;135459;135459;135459;135459;135459;135457;135455;135456;135456;
2008000;"Powiat moniecki";138179;138179;138179;138179;138179;138179;138179;138179;138179;138180;138180;138180;
2009000;"Powiat sejneński";85517;85517;85517;85517;85517;85517;85517;85517;85517;85516;85516;85516;
2010000;"Powiat siemiatycki";145946;145946;145946;145946;145946;145946;145946;145946;145946;145944;145949;145949;
2011000;"Powiat sokólski";205450;205450;205450;205450;205450;205450;205450;205450;205450;205446;205442;205442;
2012000;"Powiat suwalski";130700;130700;130700;130700;130700;130700;130700;130700;130700;130697;130697;130697;
2013000;"Powiat wysokomazowiecki";128891;128891;128891;128891;128891;128891;128891;128891;128891;128891;128891;128891;
2014000;"Powiat zambrowski";73312;73312;73312;73312;73312;73312;73312;73312;73312;73310;73310;73310;
2061000;"Powiat m. Białystok";10213;10213;10213;10213;10213;10213;10213;10213;10213;10213;10213;10213;
2062000;"Powiat m. Łomża";3267;3267;3267;3267;3267;3267;3267;3267;3267;3267;3267;3267;
2063000;"Powiat m. Suwałki";6551;6551;6551;6551;6551;6551;6551;6551;6551;6551;6551;6551;
2201000;"Powiat bytowski";219207;219207;219207;219207;219207;219207;219207;219207;219207;219220;219220;219220;
2202000;"Powiat chojnicki";136421;136421;136421;136421;136421;136421;136421;136421;136421;136421;136421;136421;
2203000;"Powiat człuchowski";157527;157527;157527;157527;157527;157527;157527;157527;157527;157495;157495;157495;
2204000;"Powiat gdański";79375;79375;79375;79375;79375;79375;79375;79375;79375;79387;79387;79387;
2205000;"Powiat kartuski";112054;112054;112054;112054;112054;112054;112054;112054;112054;112052;112050;112050;
2206000;"Powiat kościerski";116567;116567;116567;116567;116567;116567;116567;116567;116567;116554;116553;116553;
2207000;"Powiat kwidzyński";83470;83470;83470;83470;83470;83470;83470;83470;83470;83468;83468;83468;
2208000;"Powiat lęborski";70602;70602;70602;70602;70602;70602;70777;70777;70777;70753;70753;70753;
2209000;"Powiat malborski";49423;49423;49423;49423;49423;49423;49423;49423;49423;49439;49439;49439;
2210000;"Powiat nowodworski";67153;67153;67153;67153;67153;67408;67408;67408;67408;67399;91402;91402;
2211000;"Powiat pucki";57214;57214;57214;57214;57214;58118;58118;58118;58118;58103;86835;86835;
2212000;"Powiat słupski";230424;230424;230424;230424;230424;230424;230424;230424;230424;231049;230087;230090;
2213000;"Powiat starogardzki";134534;134534;134534;134534;134534;134534;134534;134534;134534;134555;134555;134555;
2214000;"Powiat tczewski";69711;69711;69711;69711;69711;69711;69711;69711;69711;69713;69713;69713;
2215000;"Powiat wejherowski";128525;128525;128525;128525;128525;128525;128525;128525;128525;128751;128744;128744;
2216000;"Powiat sztumski";73074;73074;73074;73074;73074;73074;73074;73074;73074;73055;73055;73055;
2261000;"Powiat m. Gdańsk";26196;26196;26196;26196;26196;26196;26196;26196;26196;26587;68300;68300;
2262000;"Powiat m. Gdynia";13514;13514;13514;13514;13514;13514;13514;13514;13514;13520;39151;39151;
