"Kod";"Nazwa";"ogółem;1999;[ha]";"ogółem;2000;[ha]";"ogółem;2001;[ha]";"ogółem;2002;[ha]";"ogółem;2003;[ha]";"ogółem;2004;[ha]";"ogółem;2005;[ha]";"ogółem;2006;[ha]";"ogółem;2007;[ha]";"ogółem;2008;[ha]";"ogółem;2009;[ha]";"ogółem;2010;[ha]";"ogółem;2011;[ha]";"ogółem;2012;[ha]";"ogółem;2013;[ha]";"ogółem;2014;[ha]";"ogółem;2015;[ha]";"ogółem;2016;[ha]";"ogółem;2017;[ha]";"ogółem;2018;[ha]";"ogółem;2019;[ha]";"ogółem;2020;[ha]";"ogółem;2021;[ha]";"ogółem;2022;[ha]";"ogółem;2023;[ha]";"ogółem;2024;[ha]";
0220000;"Powiat trzebnicki";;26134,0;26344,5;26497,5;26626,2;26753,6;26905,1;27030,7;27051,6;27119,8;27195,0;27307,6;27302,3;27338,8;27354,37;27459,94;27453,66;27473,26;27544,07;27493,87;27494,64;27496,44;27522,82;27522,71;27605,62;27621,86;
0221000;"Powiat wałbrzyski";;17638,5;17708,9;17791,4;20396,8;20433,1;20585,7;20664,2;20697,8;20798,7;20830,7;20822,8;20826,5;20866,6;18237,10;18252,32;18270,88;18271,15;18264,61;18261,62;18196,26;18190,77;18101,78;18102,46;18216,13;18231,43;
0222000;"Powiat wołowski";;22827,2;22980,0;23041,7;23111,4;23256,5;23297,8;23365,6;23415,7;23523,2;23551,7;23607,0;23611,4;23733,2;23789,85;23805,16;23989,63;24024,78;24031,82;24057,02;24080,30;24075,80;24129,44;24122,23;24160,08;24197,07;
0223000;"Powiat wrocławski";;12125,7;12135,2;12171,4;12197,5;12231,9;12164,3;12208,1;12234,9;12230,7;12239,5;12217,7;12300,8;12346,2;12330,60;12344,91;12334,21;12333,27;12234,44;12238,71;12242,68;12220,14;12255,02;12250,62;12249,44;12295,57;
0224000;"Powiat ząbkowicki";;15827,3;15833,9;15893,3;15872,2;15928,3;16021,0;16086,8;16102,1;16183,4;16204,0;16265,4;16282,0;16304,4;16339,68;16331,50;16340,67;16360,10;16349,55;16365,88;16446,77;16775,27;16944,58;17186,38;17195,58;17224,46;
0225000;"Powiat zgorzelecki";;39249,2;39417,7;39468,4;39692,3;40045,5;40023,3;40205,1;40143,1;40861,9;40820,9;40874,1;40877,7;41342,0;41189,78;41274,94;41383,73;41786,56;41430,18;41402,98;41414,58;41408,55;41547,96;41563,96;41493,59;41498,45;
0226000;"Powiat złotoryjski";;11291,5;11334,7;11405,5;11424,6;11458,7;11482,7;11501,5;11538,7;11561,5;11561,1;11597,0;11621,2;11636,7;11634,73;11669,89;11653,23;11710,37;11717,89;11717,32;11723,23;11800,42;11900,23;11906,03;11912,56;11913,06;
0261000;"Powiat m. Jelenia Góra";;3421,6;3425,1;3465,4;3469,0;3468,5;3522,0;3531,5;3596,7;3601,1;3602,3;3602,3;3606,1;3603,7;3584,52;3584,69;3574,88;3585,22;3620,40;3622,86;3630,42;3629,31;3685,47;3703,57;3706,06;3708,89;
0262000;"Powiat m. Legnica";;199,7;195,7;191,7;191,7;192,8;192,8;190,8;183,9;176,9;174,9;174,9;172,9;172,9;172,09;172,09;172,10;242,46;242,46;242,46;242,46;316,13;325,38;330,49;330,49;330,49;
0263000;"Powiat m. Wałbrzych do 2002";;2510,1;2517,6;2541,1;;;;;;;;;;;;;;;;;;;;;;;
