Kod;Nazwa;Rzeczywiste_2024;Prognoza_WG_2024;Roznica
2608000;Pińczowski;18266.0;7969;-10297.0
2609000;Sandomierski;93406.0;81086;-12320.0
2610000;Skarżyski;60568.0;68598;8030.0
2611000;Starachowicki;60767.0;63593;2826.0
2612000;Staszowski;38573.0;34306;-4267.0
2613000;Włoszczowski;6582.0;5602;-980.0
2661000;M. Kielce;424900.0;397570;-27330.0
2801000;Bartoszycki;45157.0;32252;-12905.0
2802000;Braniewski;18627.0;15934;-2693.0
2803000;Działdowski;30759.0;37510;6751.0
2804000;Elbląski;31049.0;30870;-179.0
2805000;Ełcki;93485.0;86358;-7127.0
2806000;Giżycki;487677.0;528864;41187.0
2807000;Iławski;133622.0;111350;-22272.0
2808000;Kętrzyński;45050.0;36514;-8536.0
2809000;Lidzbarski;67694.0;57555;-10139.0
2810000;Mrągowski;741861.0;723211;-18650.0
2811000;Nidzicki;26420.0;18924;-7496.0
2812000;Nowomiejski;7975.0;8994;1019.0
2813000;Olecki;42836.0;38897;-3939.0
2814000;Olsztyński;381604.0;415133;33529.0
2815000;Ostródzki;366595.0;262403;-104192.0
2816000;Piski;169261.0;164562;-4699.0
2817000;Szczycieński;130411.0;112501;-17910.0
2818000;Gołdapski;127473.0;99767;-27706.0
2819000;Węgorzewski;42084.0;39076;-3008.0
2861000;M. Elbląg;100631.0;101865;1234.0
2862000;M. Olsztyn;391026.0;414166;23140.0
3001000;Chodzieski;35547.0;32447;-3100.0
3002000;Czarnkowsko-Trzcianecki;27041.0;24512;-2529.0
3003000;Gnieźnieński;110457.0;120339;9882.0
3004000;Gostyński;25713.0;21813;-3900.0
3005000;Grodziski;41784.0;40135;-1649.0
3006000;Jarociński;80246.0;73568;-6678.0
3007000;Kaliski;13967.0;12862;-1105.0
3008000;Kępiński;18853.0;11303;-7550.0
3009000;Kolski;24031.0;28175;4144.0
3010000;Koniński;290525.0;293526;3001.0
3011000;Kościański;24027.0;24314;287.0
3012000;Krotoszyński;32550.0;21331;-11219.0
3013000;Leszczyński;145675.0;150022;4347.0
3014000;Międzychodzki;100353.0;106104;5751.0
3015000;Nowotomyski;100983.0;102346;1363.0
3016000;Obornicki;15113.0;13578;-1535.0
3017000;Ostrowski;101412.0;105474;4062.0
3018000;Ostrzeszowski;18367.0;21413;3046.0
3019000;Pilski;110670.0;94669;-16001.0
3020000;Pleszewski;35363.0;45037;9674.0
3021000;Poznański;363601.0;400627;37026.0
3022000;Rawicki;21256.0;14826;-6430.0
3023000;Słupecki;84876.0;73885;-10991.0
3024000;Szamotulski;26828.0;21413;-5415.0
3025000;Średzki;74881.0;66638;-8243.0
3026000;Śremski;35155.0;36483;1328.0
3027000;Turecki;19227.0;18423;-804.0
3028000;Wągrowiecki;66562.0;52950;-13612.0
3029000;Wolsztyński;121881.0;92575;-29306.0
3030000;Wrzesiński;83793.0;75233;-8560.0
3031000;Złotowski;19334.0;19989;655.0
3061000;M. Kalisz;44152.0;43688;-464.0
3062000;M. Konin;16829.0;13126;-3703.0
3063000;M. Leszno;34152.0;45593;11441.0
3064000;M. Poznań;1487123.0;1576670;89547.0
3201000;Białogardzki;47804.0;42689;-5115.0
3202000;Choszczeński;5869.0;7162;1293.0
3203000;Drawski;159503.0;147438;-12065.0
3204000;Goleniowski;66301.0;57555;-8746.0
3205000;Gryficki;1627863.0;1381025;-246838.0
3206000;Gryfiński;88416.0;91809;3393.0
3207000;Kamieński;1880912.0;1460615;-420297.0
3208000;Kołobrzeski;6107617.0;4818388;-1289229.0
3209000;Koszaliński;1447359.0;1459881;12522.0
3210000;Myśliborski;54678.0;47022;-7656.0
3211000;Policki;64782.0;57164;-7618.0
3212000;Pyrzycki;8687.0;-2253;-10940.0
3213000;Sławieński;1460861.0;1507548;46687.0
3214000;Stargardzki;100273.0;78771;-21502.0
3215000;Szczecinecki;65357.0;51302;-14055.0
3216000;Świdwiński;64452.0;60243;-4209.0
3217000;Wałecki;111255.0;98881;-12374.0
3218000;Łobeski;13995.0;15839;1844.0
3261000;M. Koszalin;119850.0;114782;-5068.0
3262000;M. Szczecin;1070810.0;1114445;43635.0
3263000;M. Świnoujście;1958162.0;2040891;82729.0
